actors,awards,boxoffice,cntitle,country,doubanId,filetype,fileurl,genre,imdbid,movieid,omdbid,plot,poster,rating,runtime,source,timein,title,tmdbid,year
"Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth",Won 3 Oscars. Another 110 wins & 161 nominations.,,,"USA, UK, India, Spain, Canada",,,,"Drama, War",tt8579674,,,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",https://m.media-amazon.com/images/M/MV5BOTdmNTFjNDEtNzg0My00ZjkxLTg1ZDAtZTdkMDc2ZmFiNWQ1XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_SX300.jpg,8.3,119,,,1917,,2019
"Ashley Judd, Jonah Hauer-King, Edward James Olmos, Alexandra Shipp",2 wins.,,,"China, USA",,,,"Adventure, Drama, Family",tt7616798,,,A female dog travels four hundred miles in search of her owner throughout a Colorado wilderness.,https://m.media-amazon.com/images/M/MV5BMTg5MjcwMzY5OV5BMl5BanBnXkFtZTgwMDM0OTI1NjM@._V1_SX300.jpg,6.7,96,,,A Dog's Way Home,,2019
"Will Smith, Mena Massoud, Naomi Scott, Marwan Kenzari",7 wins & 31 nominations.,,,USA,,,,"Adventure, Family, Fantasy, Musical, Romance",tt6139732,,,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,https://m.media-amazon.com/images/M/MV5BMjQ2ODIyMjY4MF5BMl5BanBnXkFtZTgwNzY4ODI2NzM@._V1_SX300.jpg,7.0,128,,,Aladdin,,2019
"Rosa Salazar, Christoph Waltz, Jennifer Connelly, Mahershala Ali",9 wins & 25 nominations.,,,"USA, Japan, Canada",,,,"Action, Adventure, Sci-Fi, Thriller",tt0437086,,,"A deactivated cyborg is revived, but cannot remember anything of her past life and goes on a quest to find out who she is.",https://m.media-amazon.com/images/M/MV5BMTQzYWYwYjctY2JhZS00NTYzLTllM2UtZWY5ZTk0NmYwYzIyXkEyXkFqcGdeQXVyMzgxODM4NjM@._V1_SX300.jpg,7.3,122,,,Alita Battle Angel,,2019
"Ayushmann Khurrana, Tabu, Radhika Apte, Anil Dhawan",25 wins & 25 nominations.,,调琴师,India,,,,"Crime, Thriller",tt8108198,,,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.",https://m.media-amazon.com/images/M/MV5BZWZhMjhhZmYtOTIzOC00MGYzLWI1OGYtM2ZkN2IxNTI4ZWI3XkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_SX300.jpg,8.3,139,,,Andhadhun,,2018
"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins",18 nominations.,,,USA,,,,"Action, Adventure, Comedy, Sci-Fi",tt5095030,,,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",https://m.media-amazon.com/images/M/MV5BYjcyYTk0N2YtMzc4ZC00Y2E0LWFkNDgtNjE1MzZmMGE1YjY1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,7.1,118,,,Ant-Man and the Wasp,,2018
"Jason Momoa, Amber Heard, Willem Dafoe, Patrick Wilson",2 wins & 38 nominations.,,,"USA, Australia",,,,"Action, Adventure, Fantasy, Sci-Fi",tt1477834,,,"Arthur Curry (Jason Momoa), the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",https://m.media-amazon.com/images/M/MV5BOTk5ODg0OTU5M15BMl5BanBnXkFtZTgwMDQ3MDY3NjM@._V1_SX300.jpg,7.0,143,,,Aquaman,,2018
"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth",Nominated for 1 Oscar. Another 65 wins & 103 nominations.,,,USA,,,,"Action, Adventure, Drama, Sci-Fi",tt4154796,,,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_SX300.jpg,8.4,181,,,Avengers Endgame,,2019
"Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig",2 nominations.,,,"USA, Mexico",,,,"Action, Comedy, Crime, Thriller",tt1502397,,,Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.,https://m.media-amazon.com/images/M/MV5BMWU0MGYwZWQtMzcwYS00NWVhLTlkZTAtYWVjOTYwZTBhZTBiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.7,124,,,Bad Boys For Life,,2020
"Margot Robbie, Rosie Perez, Mary Elizabeth Winstead, Jurnee Smollett",3 nominations.,,,USA,,,,"Action, Adventure, Crime",tt7713068,,,"After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.",https://m.media-amazon.com/images/M/MV5BMzQ3NTQxMjItODBjYi00YzUzLWE1NzQtZTBlY2Y2NjZlNzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,6.1,109,,,Birds of Prey,,2020
