,,,第一滴血1,,,,"Y:\Action 动作战争\Rambo 1 第一滴血1 1982 7.4 动作 720p.mkv",动作,,,,,,7.4,,,,Rambo,,1982
,,,神奇四侠2,,,,"Y:\Action 动作战争\Fantastic Four 2 神奇四侠2 2007 5.8 动作科幻 x265.mp4",动作科幻,,,,,,5.8,,,,"Fantastic Four",,2007
,,,完美风暴,,,,"Y:\Action 动作战争\The Perfect Storm 完美风暴 2002 6.2m7.5 动作冒险 720p.mkv",m7.5,,,,,,6.2,,,,"The Perfect Storm",,2002
,,,猫和老鼠与福尔摩斯,,,,"Y:\Animation 动画家庭\Tom And Jerry 猫和老鼠与福尔摩斯 2010 6.7.mkv",.mkv,,,,,,6.7,,,,"Tom And Jerry",,2010
,,,仙履奇缘2美梦成真,,,,"Y:\Animation 动画家庭\Cinderella 2 仙履奇缘2美梦成真 2002 4.9.mkv",.mkv,,,,,,4.9,,,,Cinderella,,2002
,,,黑猫警长2,,,,"Y:\Animation 动画家庭\Mr Black 黑猫警长2 2010 6.4 大陆动画 SDHF 21943062.mkv",大陆动画,,,,,,6.4,,,,"Mr Black",,2010
,,,11点14分,,,,"Y:\Comedy 喜剧爱情\Eleven Fourteen 11点14分 2003 7.3 喜剧犯罪 MiniSD.mkv",喜剧犯罪,,,,,,7.3,,,,"Eleven Fourteen",,2003
,,,宅男杰夫,,,,"Y:\Comedy 喜剧爱情\Jeff Who Lives at Home 宅男杰夫 2012 7.2 喜剧 SDHF.mkv",喜剧,,,,,,7.2,,,,"Jeff Who Lives at Home",,2012
,,,蜂蜜与四叶草,,,,"Y:\Comedy 喜剧爱情\Honey And Clover 蜂蜜与四叶草 2006 6.8 日本爱情 MiniSD.mkv",日本爱情,,,,,,6.8,,,,"Honey And Clover",,2006
,,,八部半,,,,"Y:\Drama 剧情惊悚\Eight And A Half 八部半 1963 8.2 法国剧情 MiniSD.mkv",法国剧情,,,,,,8.2,,,,"Eight And A Half",,1963
,,,儿子的房间,,,,"Y:\Drama 剧情惊悚\The Son's Room 儿子的房间 2002 7.4 意大利剧情 HALFCD.mkv",意大利剧情,,,,,,7.4,,,,"The Son's Room",,2002
